sid,lat,lon,kw,yrs,climate,station,km,st_iwsr,st_y0,st_y1,st_ny,st_loss
10254,32.744579,-117.132568,4.2,10.8657,Bsk,6792_ac_power_inv_13731,4.7,0.971,2015,2019,5,2.9000000000000026
10512,37.284042,-121.82664,7.28,9.0219,Csb,13063_ac_power_inv_23623,4.8,0.96,2015,2022,8,4.0000000000000036
12184,32.742892,-117.12774,14.4,13.0904,Bsk,6792_ac_power_inv_13731,5.1,0.971,2015,2019,5,2.9000000000000026
10720,33.659639,-117.73948,6.0,8.1287,Csa,5241_ac_power_inv_3540,5.1,0.984,2016,2022,7,1.6000000000000014
11211,32.742892,-117.12774,5.04,5.7205,Bsk,6792_ac_power_inv_13731,5.1,0.971,2015,2019,5,2.9000000000000026
10872,37.326341,-121.9178,6.27,7.7123,Csb,13063_ac_power_inv_23623,5.2,0.96,2015,2022,8,4.0000000000000036
12061,33.975263,-118.35558,2.64,7.9095,Csb,5328_dc_power_inv_4559,5.2,0.9755,2017,2022,6,2.4499999999999966
10341,33.975263,-118.35558,3.29,7.1589,Csb,5328_dc_power_inv_4559,5.2,0.9755,2017,2022,6,2.4499999999999966
10069,37.256743,-121.92312,5.0,12.7041,Csb,13063_ac_power_inv_23623,5.3,0.96,2015,2022,8,4.0000000000000036
11562,37.256743,-121.92312,4.7,8.2219,Csb,13063_ac_power_inv_23623,5.3,0.96,2015,2022,8,4.0000000000000036
11573,33.571185,-117.15362,5.28,6.8438,Csa,7083_ac_power_inv_14711,5.7,0.97,2008,2013,6,3.0000000000000027
10673,33.571185,-117.15362,6.615,8.663,Csa,7083_ac_power_inv_14711,5.7,0.97,2008,2013,6,3.0000000000000027
10519,37.316983,-121.93555,7.28,9.1452,Csb,13063_ac_power_inv_23623,5.8,0.96,2015,2022,8,4.0000000000000036
12068,37.316983,-121.93555,5.98,6.5835,Csb,13063_ac_power_inv_23623,5.8,0.96,2015,2022,8,4.0000000000000036
11650,33.639227,-117.58518,13.2,6.652,Csa,5244_ac_power_inv_3601,6.1,0.984,2016,2022,7,1.6000000000000014
11236,32.727008,-117.115101,7.035,5.6575,Bsk,6792_ac_power_inv_13731,6.1,0.971,2015,2019,5,2.9000000000000026
10701,33.639227,-117.58518,12.6,4.2684,Csa,5244_ac_power_inv_3601,6.1,0.984,2016,2022,7,1.6000000000000014
10182,37.305714,-121.81145,8.75,6.0739,Csb,13063_ac_power_inv_23623,6.3,0.96,2015,2022,8,4.0000000000000036
11628,37.571581,-122.0509,4.02,5.7178,Csb,7085_ac_power_inv_14713,6.4,0.969,2008,2014,7,3.1000000000000028
10650,32.294508,-110.884167,10.8,8.7479,Bsh,5259_ac_power_inv_3782,6.4,0.987,2016,2022,7,1.3000000000000012
10596,33.934513,-117.95159,3.51,4.6191,Csa,7084_ac_power_inv_14712,6.5,0.958,2008,2013,6,4.200000000000004
10562,32.76235,-117.12246,4.32,4.7342,Bsk,6792_ac_power_inv_13731,6.5,0.971,2015,2019,5,2.9000000000000026
10013,37.231378,-121.874925,4.56,12.0712,Csb,13063_ac_power_inv_23623,6.5,0.96,2015,2022,8,4.0000000000000036
11875,37.515014,-121.92916,3.575,7.9506,Csb,7085_ac_power_inv_14713,6.5,0.969,2008,2014,7,3.1000000000000028
11745,37.515014,-121.92916,5.76,8.5287,Csb,7085_ac_power_inv_14713,6.5,0.969,2008,2014,7,3.1000000000000028
10609,34.313088,-118.402347,8.32,6.8136,Csb,13193_dc_power_inv_25624,6.5,0.981,2016,2019,4,1.9000000000000017
